"Administrative Unit Number","School Number","Institution Name","Address","Address Line 2 ","City","State","Zip Code","Zip Code Extension","Latitude","Longitude","WebAddress","Grades","Georeferenced Latitude & Longitude"
"925231414","603","Upper Darby Municipal Branch Library","501 Bywood Ave",,"Upper Darby","PA","19082","2111","39.9592296","-75.2665456","https://www.delcolibraries.org/our-libraries",,"POINT (-75.2665456 39.9592296)"
"118409302","2918","Third Avenue El Sch","131 Rear Third Ave & Davis St",,"Kingston","PA","18704","3630","41.25678449","-75.88715511","http://www.wvwspartans.org","K5F","POINT (-75.88715511 41.25678449)"
"126515001","3743","Howe Julia Ward Sch","5800 N 13th St",,"Philadelphia","PA","19141","4121","40.04149566","-75.14216804","http://www.philasd.org","K5F-5","POINT (-75.14216804 40.04149566)"
"905201053","0","Springboro Public Library","110 S Main St, PO Box 51",,"Springboro","PA","16435","51","41.800611","-80.3689538","http://springboro.ccfls.org",,"POINT (-80.3689538 41.800611)"
"929541293","0","Port Carbon Public Library","111 Pike St","P O Box 58","Port Carbon","PA","17965","58","40.6951897","-76.1663052","https://www.facebook.com/people/Port-Carbon-Public-Library/100080172310503/",,"POINT (-76.1663052 40.6951897)"
"116479998","0","North Central Secure Trmnt Unt","13 Kirkbride Drive",,"Danville","PA","17821","390","40.950946","-76.596023","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-76.596023 40.950946)"
"912280633","0","Alexander Hamilton Mem Fr Lib","45 East Main St",,"Waynesboro","PA","17268","1691","39.7551332","-77.5764047","https://www.ahmfl.org/",,"POINT (-77.5764047 39.7551332)"
"220482752","0","Holy Infancy School","551 Thomas Street",,"Bethlehem","PA","18015",,"40.608521","-75.369811","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-75.369811 40.608521)"
"300091120","0","Childrens House of Bucks Co","840 Trenton Rd",,"Fairless Hills","PA","19030",,"40.18416","-74.836091","http://www.edna.pa.gov/Screens/wfSearchEntity.aspx",,"POINT (-74.836091 40.18416)"
"109243503","6218","Johnsonburg Area HS","315 High School Rd",,"Johnsonburg","PA","15845",,"41.505398","-78.682948","http://www.johnsonburgareaschooldistrict.net","12-Jul","POINT (-78.682948 41.505398)"
"123464502","3291","Gladwyne Sch","230 West Righters Mill Rd",,"Gladwyne","PA","19035","1533","40.034453","-75.27696","http://www.lmsd.org","K5H,1-4","POINT (-75.27696 40.034453)"
